Make,Type,Origin,Color,Options,Engine_Size,Fuel_Type,Gear_Type,Mileage,Region,Price,Car_Age
Chrysler,C300,Saudi,Black,Full,5.7,Gas,Automatic,103000,Riyadh,114000,7
Nissan,Sunny,Saudi,Silver,Standard,1.5,Gas,Automatic,72418,Riyadh,27500,6
Hyundai,Elantra,Saudi,Grey,Standard,1.6,Gas,Automatic,114154,Riyadh,43000,6
Hyundai,Elantra,Saudi,Silver,Semi Full,2.0,Gas,Automatic,41912,Riyadh,59500,6
Honda,Accord,Saudi,Navy,Full,1.5,Gas,Automatic,39000,Riyadh,72000,7
Toyota,Land Cruiser,Saudi,White,Semi Full,4.5,Gas,Automatic,183000,Riyadh,92000,14
Chevrolet,Impala,Saudi,Black,Standard,3.6,Gas,Automatic,70000,Riyadh,80000,6
Toyota,Yaris,Saudi,White,Standard,1.5,Gas,Automatic,131000,Jeddah,32000,7
Toyota,Camry,Gulf Arabic,White,Standard,2.5,Gas,Automatic,107000,Dammam,50000,8
Nissan,Patrol,Saudi,White,Full,5.6,Gas,Automatic,106000,Dammam,135000,11
Chevrolet,Tahoe,Other,Grey,Semi Full,5.3,Gas,Automatic,176140,Riyadh,153000,7
Hyundai,Accent,Saudi,White,Standard,1.4,Gas,Automatic,83000,Jeddah,37000,6
Toyota,Corolla,Saudi,White,Standard,1.6,Gas,Automatic,7702,Dammam,45000,7
MINI,Cooper,Gulf Arabic,Grey,Full,2.0,Gas,Automatic,110000,Dammam,83000,9
Nissan,Sunny,Saudi,White,Standard,1.5,Gas,Automatic,58000,Al-Medina,24500,8
Nissan,Patrol,Saudi,White,Standard,4.8,Gas,Automatic,93000,Jeddah,83000,9
Toyota,Prado,Saudi,White,Semi Full,4.0,Gas,Automatic,3000,Dammam,174000,4
Hyundai,Elantra,Other,White,Standard,1.6,Diesel,Automatic,83000,Riyadh,50000,7
Honda,Civic,Saudi,Black,Standard,1.5,Gas,Automatic,200000,Jeddah,38000,8
Toyota,Fortuner,Saudi,White,Semi Full,2.4,Diesel,Automatic,29000,Qassim,145000,4
Lexus,RX,Saudi,Bronze,Full,3.5,Gas,Automatic,129000,Jeddah,178000,6
GMC,Yukon,Saudi,Silver,Standard,5.3,Gas,Automatic,137317,Dammam,130000,8
Nissan,Bus Urvan,Saudi,White,Standard,3.5,Gas,Manual,27000,Riyadh,68000,5
Toyota,Aurion,Saudi,White,Semi Full,2.6,Gas,Automatic,300,Jazan,50000,10
Nissan,Sunny,Saudi,White,Standard,1.5,Gas,Automatic,112963,Riyadh,27500,6
Hyundai,Elantra,Saudi,Silver,Standard,1.6,Gas,Automatic,108650,Riyadh,43000,6
Chevrolet,Malibu,Saudi,Black,Semi Full,3.0,Gas,Automatic,122455,Riyadh,36000,12
Nissan,Sunny,Saudi,Silver,Standard,1.5,Gas,Automatic,93762,Riyadh,26800,6
Toyota,Rav4,Gulf Arabic,White,Full,2.5,Gas,Automatic,15000,Dammam,111000,5
Mazda,CX9,Saudi,Another Color,Full,2.5,Gas,Automatic,89000,Riyadh,99000,6
Ford,Expedition,Saudi,Black,Standard,5.4,Gas,Automatic,348000,Riyadh,50000,12
GMC,Yukon,Saudi,Golden,Full,5.3,Gas,Automatic,286000,Riyadh,48000,17
Toyota,Camry,Saudi,Silver,Standard,2.5,Hybrid,Automatic,46000,Riyadh,75000,5
Lexus,ES,Saudi,White,Full,3.5,Gas,Automatic,85000,Riyadh,80000,10
Kia,Cadenza,Saudi,Another Color,Standard,3.5,Gas,Automatic,115000,Riyadh,55000,8
Hyundai,Tucson,Saudi,White,Semi Full,2.0,Gas,Automatic,157000,Riyadh,50000,9
Hyundai,Tucson,Saudi,Silver,Semi Full,2.0,Gas,Automatic,24000,Riyadh,68000,6
Genesis,G80,Saudi,White,Semi Full,3.8,Gas,Automatic,84000,Riyadh,120000,6
Toyota,Prado,Saudi,White,Semi Full,4.0,Gas,Automatic,201000,Riyadh,108000,9
Toyota,Rav4,Saudi,White,Full,2.5,Gas,Automatic,363000,Riyadh,58000,9
Hyundai,Accent,Saudi,Another Color,Standard,1.4,Gas,Automatic,2000,Riyadh,42000,5
Lexus,ES,Saudi,Black,Full,3.5,Gas,Automatic,349000,Riyadh,70000,12
Hyundai,Sonata,Saudi,Grey,Semi Full,2.4,Gas,Automatic,78000,Riyadh,62000,6
Genesis,G80,Saudi,Another Color,Semi Full,3.8,Gas,Automatic,75000,Riyadh,110000,7
Honda,Accord,Saudi,Another Color,Full,3.5,Gas,Automatic,350000,Riyadh,50000,9
Genesis,G80,Saudi,Another Color,Semi Full,3.8,Gas,Automatic,127000,Riyadh,93000,7
Lexus,LX,Saudi,White,Full,5.7,Gas,Automatic,247000,Riyadh,165000,10
Lexus,GX,Saudi,White,Full,4.6,Gas,Automatic,146000,Riyadh,126000,10
Nissan,Sunny,Saudi,Silver,Standard,1.5,Gas,Automatic,87537,Riyadh,26800,6
Nissan,Sunny,Saudi,White,Standard,1.5,Gas,Automatic,99104,Riyadh,26800,6
Nissan,Sunny,Saudi,Grey,Standard,1.5,Gas,Automatic,106007,Riyadh,26800,6
Nissan,Sunny,Saudi,Silver,Standard,1.5,Gas,Automatic,88564,Riyadh,26800,6
Hyundai,Azera,Saudi,Grey,Semi Full,3.5,Gas,Automatic,166000,Riyadh,47000,9
Honda,Accord,Saudi,Golden,Semi Full,2.4,Gas,Automatic,196000,Riyadh,59000,10
Genesis,G80,Saudi,Silver,Semi Full,3.8,Gas,Automatic,70000,Riyadh,110000,7
Cadillac,CTS,Saudi,Another Color,Full,3.6,Gas,Automatic,240000,Riyadh,32000,15
Toyota,Prado,Saudi,Another Color,Full,3.8,Gas,Automatic,108000,Riyadh,87000,12
MG,ZS,Saudi,Black,Semi Full,1.5,Gas,Automatic,23000,Riyadh,47000,6
Hyundai,Kona,Saudi,Blue,Standard,2.0,Gas,Automatic,19000,Riyadh,59000,6
Jeep,Grand Cherokee,Saudi,Black,Full,5.7,Gas,Automatic,120000,Riyadh,85000,11
GMC,Yukon,Gulf Arabic,White,Semi Full,5.3,Gas,Automatic,63000,Riyadh,140000,9
Honda,Accord,Gulf Arabic,Grey,Standard,2.4,Gas,Automatic,221000,Riyadh,48000,10
Dodge,Charger,Saudi,Another Color,Full,5.7,Gas,Automatic,85000,Aseer,130000,7
Ford,Taurus,Saudi,White,Standard,2.0,Gas,Automatic,82000,Riyadh,77000,7
Mercedes,E,Gulf Arabic,White,Standard,2.0,Gas,Automatic,49000,Dammam,75000,11
Nissan,Sunny,Saudi,Silver,Standard,1.5,Gas,Automatic,105739,Riyadh,26800,6
Nissan,Sunny,Saudi,White,Standard,1.5,Gas,Automatic,55526,Riyadh,27500,6
Nissan,Sunny,Saudi,Silver,Standard,1.5,Gas,Automatic,98659,Riyadh,27500,6
Nissan,Sunny,Saudi,Silver,Standard,1.5,Gas,Automatic,95623,Riyadh,27500,6
Hyundai,Elantra,Saudi,Grey,Semi Full,1.6,Gas,Automatic,86000,Dammam,54000,6
Toyota,Yaris,Saudi,White,Standard,1.5,Gas,Automatic,128000,Jeddah,32000,7
Hyundai,Accent,Saudi,White,Standard,1.4,Gas,Automatic,101000,Jeddah,37000,6
Mazda,CX9,Other,Grey,Full,2.5,Gas,Automatic,93000,Dammam,111000,8
Toyota,Corolla,Saudi,Silver,Standard,1.6,Gas,Automatic,176277,Dammam,37000,10
Kia,Picanto,Saudi,Another Color,Standard,1.0,Gas,Automatic,133000,Al-Medina,18500,10
Nissan,Datsun,Saudi,White,Full,2.4,Gas,Manual,212000,Riyadh,42000,10
Jaguar,F-Pace,Saudi,White,Full,2.5,Gas,Automatic,70000,Jeddah,145000,7
Toyota,Hilux,Saudi,White,Full,2.7,Gas,Manual,28000,Dammam,95000,9
Toyota,Fortuner,Saudi,White,Standard,2.7,Gas,Automatic,113000,Riyadh,105000,6
Ford,Expedition,Saudi,White,Full,3.5,Gas,Automatic,104000,Dammam,95000,9
Honda,Accord,Gulf Arabic,Silver,Full,1.5,Gas,Automatic,8200,Dammam,107000,6
Ford,Explorer,Gulf Arabic,Red,Full,3.5,Gas,Automatic,93000,Riyadh,95000,9
Hyundai,Elantra,Saudi,White,Standard,1.6,Gas,Automatic,120496,Riyadh,40800,6
Hyundai,Elantra,Saudi,Silver,Standard,1.6,Gas,Automatic,120244,Riyadh,43000,6
Hyundai,Accent,Saudi,Black,Standard,1.4,Gas,Automatic,101231,Riyadh,21500,11
Nissan,Sunny,Saudi,White,Standard,1.5,Gas,Automatic,106646,Riyadh,22500,8
Ford,Expedition,Gulf Arabic,White,Full,3.5,Gas,Automatic,34000,Riyadh,108000,8
Land Rover,Range Rover,Saudi,Black,Full,2.4,Gas,Automatic,195000,Jeddah,45000,16
Hyundai,Elantra,Saudi,Brown,Semi Full,1.6,Gas,Automatic,81000,Riyadh,44000,7
Hyundai,Sonata,Saudi,Silver,Semi Full,2.4,Gas,Automatic,99000,Riyadh,62000,7
Dodge,Charger,Saudi,Grey,Standard,1.0,Gas,Automatic,151000,Riyadh,69000,9
Kia,Cadenza,Saudi,Brown,Standard,1.0,Gas,Automatic,74000,Riyadh,60000,7
Toyota,Fortuner,Saudi,White,Full,3.5,Gas,Automatic,40000,Riyadh,120000,6
Hyundai,Accent,Saudi,White,Standard,1.4,Gas,Automatic,78000,Riyadh,36000,7
Hyundai,Sonata,Saudi,White,Full,2.4,Gas,Automatic,205000,Riyadh,40000,12
Toyota,FJ,Saudi,Bronze,Full,1.0,Gas,Automatic,296000,Riyadh,79000,12
Kia,Cadenza,Saudi,Grey,Full,3.5,Gas,Automatic,179000,Riyadh,73000,8
Hyundai,Elantra,Saudi,White,Semi Full,2.0,Gas,Automatic,88000,Riyadh,44000,7
Hyundai,Elantra,Saudi,Grey,Semi Full,1.6,Gas,Automatic,96000,Riyadh,47000,7
Genesis,G80,Saudi,Silver,Semi Full,3.8,Gas,Automatic,66000,Riyadh,120000,6
Hyundai,Sonata,Saudi,White,Semi Full,2.4,Gas,Automatic,216000,Riyadh,41000,11
Toyota,Camry,Saudi,White,Full,1.0,Gas,Automatic,244000,Riyadh,59000,9
Toyota,FJ,Saudi,White,Full,1.0,Gas,Automatic,190000,Riyadh,98000,10
Hyundai,Santa fe,Saudi,White,Standard,3.3,Gas,Automatic,41542,Riyadh,69000,7
Kia,Optima,Saudi,Black,Semi Full,2.4,Gas,Automatic,245000,Riyadh,45000,8
Kia,Cadenza,Saudi,Grey,Standard,3.5,Gas,Automatic,180000,Riyadh,57000,10
GAC,GS8,Saudi,Blue,Full,2.0,Gas,Automatic,29200,Jeddah,80000,5
Nissan,Sunny,Saudi,White,Standard,1.5,Gas,Automatic,108708,Riyadh,24000,7
Nissan,Sunny,Saudi,Silver,Standard,1.5,Gas,Automatic,124758,Riyadh,24000,7
Nissan,Sunny,Saudi,Black,Standard,1.5,Gas,Automatic,158218,Riyadh,24500,8
